Unnamed: 0,iso_code,continent,country,total_cases,total_deaths,median_age,population,area,Density,netmigraration,morality,GDP
229,URY,South America,Uruguay,17962.0,168.0,35.6,3422796.0,176220,"19,5","-0,32","11,95",12800.0
230,UZB,Asia,Uzbekistan,77060.0,614.0,28.2,34627648.0,447400,"61,0","-1,72","71,1",1700.0
231,VUT,Oceania,Vanuatu,1.0,0.0,23.1,326744.0,12200,"17,1",0,"55,16",2900.0
233,VEN,South America,Venezuela,112861.0,1021.0,29.0,28301700.0,912050,"28,2","-0,04","22,2",4800.0
234,VNM,Asia,Vietnam,1456.0,35.0,32.6,98186856.0,329560,"256,1","-0,45","25,95",2500.0
236,WLF,Oceania,Wallis and Futuna,4.0,0.0,34.0,11596.0,274,"58,5",,,3700.0
237,YEM,Asia,Yemen,2100.0,611.0,20.3,33696612.0,527970,"40,6",0,"61,5",800.0
238,ZMB,Africa,Zambia,20462.0,386.0,17.7,20017670.0,752614,"15,3",0,"88,29",800.0
239,ZWE,Africa,Zimbabwe,13625.0,360.0,19.6,16320539.0,390580,"31,3",0,"67,69",1900.0
240,COD,Africa,Democratic Republic of the Congo,17657.0,591.0,17.0,99010216.0,2345410,"26,7",0,"94,69",700.0
241,COG,Africa,Republic of Congo,6431.0,100.0,19.0,5970430.0,342000,"10,8","-0,17","93,86",700.0
242,CAF,Africa,Central African Republic,15375,113.0,14.7,4303356,622984,"6.9","0.0","91",1100
243,BIH,Bosnia and Herzegovina,108000.0,4050.0,41.5,3318000.0,51129,"64","0.31","21",6100
244,CZE,Europe,Czech Republic,723576,11888,43.2,10708981,78871,"139","0.97","3.93",15700
245,MMR,Asia,Myanmar,128178,2637,28.8,54409800,676578,"83","-1.653","35",1210
246,KOR,Asia,South Korea,60722.0,900.0,43.4,48846823,98480,"496","0","7.05",17800.0
247,CIV,Africa,Ivory Coast,22000,137,18.9,17654843,322460,"0,16","-0,07","0",1400
248,MKD,Europe,North Macedonia,83329,2503,39.1,2083374,25713,"82.11","-0.480","0",6108.74
249,SSD,Africa,South Sudan,18368,138,19.1,10913164,619745,"17.5475","10.22","0",1071
250,XKX,EUROPE,Kosovo,103599,2176,30.5,1935259,10887,"165","-1.44","0",11900.0
251,MNE,Europe,Montengro,291838,2827,37.9,619211,13812,"45.36","-0.765","0",9465
